checkpoint,best_threshold,f1_score,precision,recall,accuracy,roc_auc
draft,0.3,0.6958011996572407,0.533508541392904,1.0,0.533508541392904,0.5033511413307431
10min,0.4400000000000001,0.7071428571428572,0.684331797235023,0.7315270935960592,0.6767411300919842,0.7057239991674183
15min,0.4300000000000001,0.7408312958435208,0.7354368932038835,0.7463054187192119,0.721419185282523,0.7741275237632692
20min,0.3,0.8528389339513326,0.8052516411378556,0.9064039408866995,0.8331143232588699,0.9051689447026989
25min,0.3,0.8870588235294118,0.8490990990990991,0.9285714285714286,0.873850197109067,0.9423714702005134
