golddiffat10,void_grubs,opp_void_grubs,dragons,opp_dragons,real,predito,probabilidade,blue1,blue2,blue3,blue4,blue5,red1,red2,red3,red4,red5
1.0561261951459406,0.9706007587625438,-0.9706007587625438,-0.8488032571402953,0.3645328105950146,0,1,0.38113805484147295,Pantheon,Annie,Elise,Ezreal,Kennen,Renekton,Ahri,Nocturne,Xayah,Rakan
0.7633638427749602,-1.5309938065469222,1.5309938065469222,1.3439384904721343,-0.35677679334831214,0,1,0.737641471468511,Azir,Vi,Ornn,Jhin,Alistar,Rumble,Skarner,Corki,Lucian,Braum
0.8091079603329259,-0.6971289514437669,0.6971289514437669,-0.11788934126948536,0.3645328105950146,0,1,0.4780802034007401,Rumble,Sejuani,Yone,Poppy,Varus,Nidalee,K'Sante,Sett,Rell,Ezreal
-0.3710902726625891,0.9706007587625438,-0.9706007587625438,-0.8488032571402953,-0.35677679334831214,0,1,0.5003509396338467,Gwen,Nocturne,Annie,Jinx,Lulu,Poppy,Ryze,Ambessa,Xayah,Blitzcrank
0.13921077209516153,0.9706007587625438,-0.9706007587625438,-0.11788934126948536,-0.35677679334831214,0,1,0.7951228358688307,Naafiri,Lucian,Nami,Sylas,Aurora,Rumble,Zed,Galio,Zeri,Lulu
0.22358325559096492,0.13673590365938842,-0.13673590365938842,-0.8488032571402953,-0.35677679334831214,0,1,0.4378356566077533,Vi,Miss Fortune,Neeko,Taliyah,Aatrox,Xin Zhao,Viktor,Gragas,Rell,Jhin
0.14226037993235924,0.9706007587625438,-0.9706007587625438,-0.11788934126948536,-0.35677679334831214,0,1,0.7951228358688307,Neeko,Xayah,Poppy,Aatrox,Hwei,Kai'Sa,Wukong,Nautilus,Orianna,Gnar
-0.04783184191963151,0.13673590365938842,-0.13673590365938842,-0.11788934126948536,1.0858424145383414,0,1,0.4289125477157732,Azir,Ezreal,Leona,Ivern,Jayce,Taliyah,Varus,Alistar,Naafiri,Sion
-0.30806504402716967,0.9706007587625438,-0.9706007587625438,-0.11788934126948536,0.3645328105950146,0,1,0.3880719965357616,Azir,Jayce,Varus,Poppy,Karma,Kalista,Renata Glasc,Viktor,Skarner,Nidalee
0.20528560856777864,0.13673590365938842,-0.13673590365938842,-0.11788934126948536,0.3645328105950146,0,1,0.4979302359240303,Maokai,Tristana,Kennen,Ashe,Seraphine,Viktor,Kindred,K'Sante,Caitlyn,Bard
1.1862427961997097,-0.6971289514437669,0.6971289514437669,-0.11788934126948536,1.0858424145383414,0,1,0.4489331956714637,Sion,Xin Zhao,Viktor,Corki,Elise,Neeko,Ryze,Ornn,Kalista,Wukong
