blue1,blue2,blue3,blue4,blue5,red1,red2,red3,red4,red5,result,league,atakhans,opp_atakhans,golddiffat25,golddiffat20,golddiffat15,golddiffat10,firstmidtower,firstherald,dragons,opp_dragons,void_grubs,opp_void_grubs
Jayce,Vi,Akali,Alistar,Zeri,Xin Zhao,Viktor,Kai'Sa,Rakan,Yorick,1,LEC,1.0,0.0,9721.0,5531.0,3412.0,1172.0,1.0,1.0,1.0,2.0,3.0,0.0
Azir,Xin Zhao,Corki,Nidalee,Braum,Jayce,Sejuani,Sylas,Kai'Sa,Rakan,1,LTA N,1.0,0.0,5846.0,2153.0,1750.0,663.0,1.0,0.0,4.0,0.0,0.0,3.0
Yone,Rumble,Miss Fortune,Maokai,Nautilus,Ezreal,Viktor,Alistar,Skarner,Yorick,1,LTA N,1.0,0.0,-612.0,546.0,1490.0,247.0,1.0,1.0,5.0,1.0,3.0,0.0
Renekton,Orianna,Nocturne,Jinx,Janna,Gnar,Taliyah,Xayah,Shen,Rell,1,LTA N,1.0,0.0,3456.0,197.0,581.0,0.0,1.0,1.0,4.0,0.0,3.0,0.0
Varus,Sion,Lillia,Ziggs,Rell,Ezreal,Sejuani,Aatrox,Taliyah,Alistar,1,LTA N,0.0,1.0,4590.0,2785.0,1350.0,829.0,1.0,1.0,2.0,4.0,0.0,3.0
Vi,Aurora,Corki,Ahri,Leona,Rumble,Xin Zhao,Neeko,Kai'Sa,Poppy,0,LTA N,0.0,1.0,-9299.0,-10880.0,-6843.0,-1782.0,0.0,0.0,0.0,4.0,0.0,3.0
Naafiri,Gwen,Nautilus,Orianna,Jhin,Xin Zhao,Varus,Ahri,Shen,Neeko,0,LCP,0.0,1.0,-4101.0,-1931.0,-1703.0,-378.0,0.0,0.0,2.0,2.0,0.0,3.0
Vi,Ezreal,Leona,Rumble,Aurora,Taliyah,Pantheon,Kai'Sa,Rakan,Ornn,1,LCP,1.0,0.0,9190.0,7644.0,2553.0,265.0,1.0,1.0,4.0,0.0,1.0,2.0
Miss Fortune,Wukong,Rell,Jax,Viktor,Skarner,Ashe,Ambessa,Karma,Hwei,0,LCP,0.0,1.0,-7053.0,-5601.0,-5368.0,-1495.0,0.0,0.0,1.0,3.0,0.0,3.0
Rumble,Xin Zhao,Viktor,Lucian,Nami,Ahri,Nocturne,Ashe,Renata Glasc,Galio,0,LCP,0.0,1.0,1622.0,1300.0,-2695.0,-1680.0,1.0,0.0,2.0,3.0,0.0,3.0
Vi,Kai'Sa,Ryze,Rakan,Sion,Nidalee,Corki,Ezreal,Leona,Aatrox,0,LCP,1.0,0.0,-3978.0,-372.0,-1534.0,-204.0,0.0,0.0,0.0,4.0,0.0,3.0
Varus,Rumble,Skarner,Alistar,Akali,Nocturne,Orianna,Gnar,Jhin,Rakan,1,LEC,0.0,1.0,1308.0,-320.0,587.0,544.0,1.0,1.0,5.0,2.0,3.0,0.0
Vi,Rumble,Viktor,Lucian,Braum,Yone,Miss Fortune,Sion,Lillia,Bard,0,LTA S,0.0,1.0,-4322.0,-2219.0,699.0,693.0,0.0,1.0,3.0,3.0,3.0,0.0
Taliyah,Vi,Jax,Nautilus,Lucian,Sejuani,Azir,Shen,Zeri,Rell,1,LEC,1.0,0.0,7797.0,596.0,1328.0,-247.0,1.0,1.0,4.0,0.0,3.0,0.0
Azir,Skarner,Neeko,Caitlyn,Jax,Jhin,Sejuani,Sylas,Rakan,Renekton,1,LTA S,1.0,0.0,-381.0,1989.0,526.0,777.0,0.0,1.0,3.0,3.0,1.0,2.0
Taliyah,Vi,Ezreal,Sion,Leona,Pantheon,Jayce,Alistar,Xayah,Vladimir,1,LEC,1.0,0.0,9347.0,4313.0,1740.0,128.0,1.0,1.0,3.0,1.0,3.0,0.0
Jayce,Ivern,Kai'Sa,Tristana,Nautilus,Xin Zhao,Ryze,K'Sante,Rell,Xayah,0,LTA S,1.0,0.0,-1136.0,-915.0,-783.0,757.0,0.0,1.0,0.0,4.0,3.0,0.0
Varus,Xin Zhao,Jax,Renata Glasc,Orianna,Jhin,Naafiri,Aatrox,Nautilus,Ahri,1,LEC,1.0,0.0,7483.0,4653.0,2156.0,1457.0,1.0,1.0,4.0,1.0,3.0,0.0
Vi,Ambessa,Ryze,Kalista,Rell,Sion,Karma,Ezreal,Naafiri,Taliyah,0,LTA S,0.0,1.0,-1968.0,-1369.0,-2374.0,-317.0,0.0,1.0,1.0,3.0,3.0,0.0
Rumble,Caitlyn,Lux,Jax,Yone,Gwen,Ashe,Xin Zhao,Leona,Akali,0,LTA S,0.0,1.0,2518.0,-1617.0,-940.0,-1770.0,1.0,1.0,3.0,1.0,0.0,3.0
Miss Fortune,Azir,Alistar,Gnar,Lee Sin,Pantheon,Kai'Sa,Nautilus,Xerath,Camille,1,LTA S,1.0,0.0,9340.0,4077.0,4035.0,2536.0,1.0,1.0,4.0,0.0,3.0,0.0
Varus,Gwen,Taliyah,Viego,Nautilus,Ezreal,Renekton,Ahri,Naafiri,Rell,1,LTA N,0.0,1.0,-2103.0,1050.0,1342.0,1124.0,0.0,0.0,5.0,2.0,3.0,0.0
Jayce,Lillia,Kalista,Alistar,Ambessa,Yone,Sejuani,Camille,Ziggs,Leona,0,LTA N,1.0,0.0,2426.0,1908.0,1334.0,930.0,0.0,1.0,1.0,3.0,3.0,0.0
Rumble,Xin Zhao,Taliyah,Ashe,Braum,Azir,Sejuani,Ambessa,Corki,Rakan,1,LTA N,1.0,0.0,754.0,1427.0,1875.0,1829.0,1.0,0.0,3.0,3.0,3.0,0.0
Yone,Lillia,Gnar,Miss Fortune,Poppy,Renekton,Maokai,Sylas,Kalista,Renata Glasc,1,LTA N,0.0,1.0,-3839.0,1409.0,1315.0,-42.0,1.0,1.0,0.0,5.0,1.0,2.0
Naafiri,Viktor,Nautilus,Jhin,Wukong,Skarner,Alistar,Hwei,Camille,Sivir,0,LTA N,0.0,1.0,1599.0,1373.0,468.0,304.0,0.0,1.0,3.0,3.0,0.0,3.0
Naafiri,Ambessa,Ahri,Kai'Sa,Neeko,Rumble,Varus,Wukong,Yone,Elise,0,LCKC,0.0,1.0,-2955.0,-2448.0,-767.0,-180.0,0.0,0.0,1.0,5.0,2.0,1.0
Azir,Skarner,Gnar,Lucian,Braum,Gwen,Sejuani,Corki,Ashe,Renata Glasc,1,LCKC,1.0,0.0,7104.0,2731.0,645.0,476.0,1.0,1.0,2.0,2.0,3.0,0.0
Taliyah,Pantheon,Aatrox,Xayah,Rakan,Xin Zhao,Sion,Viktor,Alistar,Ezreal,1,LCKC,1.0,0.0,5813.0,1629.0,1090.0,-36.0,1.0,0.0,4.0,0.0,3.0,0.0
Naafiri,Ambessa,Taliyah,Miss Fortune,Leona,Rumble,Varus,Xin Zhao,Viktor,Renata Glasc,1,LCKC,1.0,0.0,4078.0,2714.0,1498.0,143.0,1.0,1.0,2.0,4.0,1.0,2.0
Azir,Skarner,Renekton,Caitlyn,Braum,Sejuani,Sylas,Jax,Ashe,Rakan,0,LCKC,1.0,0.0,-164.0,320.0,-632.0,-676.0,1.0,0.0,2.0,3.0,0.0,3.0
Taliyah,Pantheon,Aatrox,Xayah,Rakan,Azir,Xin Zhao,K'Sante,Alistar,Ezreal,1,LCKC,1.0,0.0,10735.0,5816.0,1609.0,1262.0,1.0,1.0,3.0,1.0,3.0,0.0
Rumble,Viego,Ryze,Miss Fortune,Rell,Wukong,Gwen,Ahri,Nautilus,Lucian,0,LCKC,0.0,1.0,4567.0,1394.0,2389.0,1019.0,1.0,0.0,3.0,2.0,3.0,0.0
Yone,Vi,Kai'Sa,Nautilus,Gragas,Azir,Miss Fortune,Poppy,Sejuani,Ambessa,1,LEC,1.0,0.0,3085.0,4223.0,298.0,551.0,1.0,1.0,2.0,1.0,3.0,0.0
Maokai,Rell,Gnar,Zeri,Mel,Dr. Mundo,Ezreal,Gwen,Viktor,Alistar,0,LEC,0.0,1.0,-8108.0,-4166.0,122.0,-454.0,0.0,1.0,1.0,2.0,0.0,3.0
Taliyah,Xin Zhao,Rumble,Xayah,Rakan,Pantheon,Ryze,Ezreal,Aatrox,Annie,1,LEC,1.0,0.0,13100.0,8864.0,4251.0,1196.0,1.0,1.0,4.0,1.0,0.0,3.0
Naafiri,Sylas,Corki,Gwen,Gragas,Poppy,Viktor,Rell,Zeri,Kennen,0,LEC,0.0,1.0,-11187.0,-8661.0,-3602.0,-1288.0,0.0,0.0,0.0,4.0,2.0,1.0
Gwen,Naafiri,Aurora,Ashe,Braum,Xin Zhao,Azir,Ambessa,Kalista,Renata Glasc,0,LCKC,0.0,1.0,-2021.0,1736.0,851.0,1216.0,1.0,1.0,2.0,3.0,3.0,0.0
Renekton,Skarner,Viktor,Xayah,Rakan,K'Sante,Lillia,Corki,Jhin,Alistar,1,LCKC,1.0,0.0,-377.0,-2602.0,487.0,978.0,1.0,1.0,4.0,2.0,3.0,0.0
Rumble,Nocturne,Ryze,Jinx,Rell,Taliyah,Pantheon,Galio,Miss Fortune,Leona,1,LCKC,1.0,0.0,4761.0,-118.0,-648.0,-381.0,1.0,1.0,2.0,2.0,0.0,3.0
Rumble,Sejuani,Yone,Kai'Sa,Rakan,Jayce,Xin Zhao,Annie,Ezreal,Leona,1,LCKC,1.0,0.0,-1465.0,-1314.0,-1573.0,133.0,1.0,1.0,3.0,3.0,0.0,3.0
Renekton,Zyra,Corki,Lucian,Nautilus,Ahri,Pantheon,K'Sante,Rell,Zeri,1,LCKC,1.0,0.0,7035.0,2981.0,1544.0,954.0,1.0,0.0,4.0,0.0,3.0,0.0
Varus,Viktor,Lee Sin,Sion,Elise,Viego,Orianna,Ashe,Aatrox,Bard,0,LCKC,0.0,1.0,-10021.0,-5489.0,-2869.0,-1019.0,0.0,0.0,0.0,4.0,2.0,1.0
Naafiri,Rumble,Annie,Ezreal,Leona,Gwen,Ahri,Wukong,Varus,Braum,1,LCK,1.0,0.0,9320.0,6575.0,2476.0,1490.0,1.0,1.0,3.0,1.0,3.0,0.0
Vi,Viktor,Sion,Miss Fortune,Nautilus,Taliyah,Xin Zhao,Xayah,Alistar,Ambessa,1,LCK,1.0,0.0,1514.0,1203.0,-263.0,-138.0,0.0,0.0,1.0,3.0,1.0,2.0
Ryze,Jayce,Skarner,Jinx,Tahm Kench,Nocturne,Orianna,Yorick,Kai'Sa,Neeko,1,LCK,1.0,0.0,-913.0,652.0,-346.0,372.0,1.0,1.0,4.0,0.0,2.0,1.0
Azir,Ambessa,Pantheon,Miss Fortune,Rakan,Rumble,Yone,Nidalee,Alistar,Varus,0,LCK,1.0,0.0,1286.0,797.0,816.0,-85.0,0.0,0.0,1.0,5.0,0.0,3.0
Lillia,Jayce,Corki,Kai'Sa,Rell,Gwen,Ryze,Wukong,Leona,Jhin,0,LCK,0.0,1.0,-3857.0,-2958.0,-1131.0,-849.0,0.0,0.0,1.0,4.0,0.0,3.0
Taliyah,Gwen,Wukong,Poppy,Miss Fortune,Naafiri,Rumble,Ahri,Rell,Lucian,1,LCKC,0.0,1.0,1432.0,1411.0,-34.0,188.0,1.0,1.0,3.0,1.0,2.0,1.0
Naafiri,Ambessa,Annie,Miss Fortune,Leona,Varus,Rumble,Xin Zhao,Viktor,Rell,0,LCKC,0.0,1.0,-9816.0,-6198.0,-4064.0,-1508.0,0.0,0.0,0.0,3.0,2.0,1.0
Jayce,Viktor,Poppy,Miss Fortune,Rell,Rumble,Naafiri,Ahri,Ezreal,Alistar,0,LCKC,0.0,1.0,7487.0,2857.0,776.0,614.0,1.0,1.0,2.0,3.0,3.0,0.0
Azir,K'Sante,Lillia,Sivir,Rakan,Jayce,Sejuani,Orianna,Ezreal,Nautilus,0,LCKC,0.0,1.0,-9069.0,-4551.0,-3521.0,-2468.0,0.0,0.0,1.0,2.0,1.0,2.0
Azir,Skarner,Jayce,Alistar,Xayah,Yone,Sejuani,Sion,Rakan,Zeri,1,LCKC,1.0,0.0,7597.0,5484.0,3765.0,1324.0,1.0,0.0,3.0,1.0,0.0,3.0
Gwen,Taliyah,Skarner,Jinx,Nautilus,Pantheon,Ambessa,Xayah,Zoe,Leona,0,LCKC,0.0,1.0,-10426.0,-4431.0,-3787.0,-637.0,0.0,0.0,0.0,5.0,1.0,2.0
Renekton,Viktor,Nidalee,Ezreal,Karma,Ashe,Braum,Viego,Hwei,Gragas,1,LCKC,1.0,0.0,2787.0,1437.0,710.0,795.0,1.0,1.0,2.0,4.0,3.0,0.0
Viktor,Pantheon,Jayce,Xayah,Gragas,Naafiri,Rumble,Annie,Alistar,Jhin,1,LCK,1.0,0.0,1221.0,1607.0,2747.0,1302.0,1.0,0.0,3.0,1.0,1.0,2.0
Taliyah,Ezreal,Leona,Viego,Sion,Ahri,Miss Fortune,Nocturne,Nautilus,Camille,0,LCK,1.0,0.0,-4730.0,-4837.0,-3504.0,-2001.0,0.0,0.0,1.0,3.0,1.0,2.0
Azir,Poppy,Rumble,Zeri,Alistar,Xin Zhao,Jayce,Ahri,Ezreal,Nautilus,0,LCK,0.0,1.0,-5825.0,-1139.0,26.0,33.0,0.0,0.0,0.0,4.0,2.0,1.0
Naafiri,Jayce,Galio,Xayah,Braum,Viego,Annie,Sion,Nautilus,Lucian,1,LCKC,1.0,0.0,2840.0,1529.0,532.0,208.0,1.0,1.0,3.0,2.0,2.0,1.0
Naafiri,Jayce,Varus,Galio,Nautilus,Pantheon,Taliyah,Gwen,Miss Fortune,Rell,1,LCKC,0.0,1.0,981.0,3107.0,2734.0,1488.0,1.0,1.0,3.0,3.0,0.0,3.0
Xin Zhao,Ambessa,Sylas,Kai'Sa,Alistar,Rumble,Ahri,Wukong,Lucian,Braum,0,LCKC,1.0,0.0,-4894.0,-3102.0,-1621.0,-436.0,0.0,1.0,2.0,3.0,0.0,3.0
Azir,Ezreal,Gnar,Volibear,Leona,Skarner,Taliyah,Kai'Sa,Jax,Alistar,1,LCKC,1.0,0.0,1617.0,1712.0,-406.0,-318.0,1.0,1.0,3.0,1.0,1.0,2.0
Miss Fortune,Ambessa,Wukong,Viktor,Karma,Gwen,Ahri,Jhin,Poppy,Pyke,0,LCKC,0.0,1.0,-10091.0,-4762.0,-3997.0,-1542.0,1.0,0.0,2.0,2.0,2.0,1.0
Rumble,Pantheon,Taliyah,Xayah,Rakan,Jayce,Yone,Nidalee,Alistar,Ashe,0,LCK,0.0,1.0,-13923.0,-6496.0,-1411.0,-792.0,0.0,1.0,0.0,4.0,1.0,2.0
Azir,Ambessa,Varus,Trundle,Neeko,Gwen,Pantheon,Taliyah,Kalista,Renata Glasc,0,LCK,0.0,1.0,-2293.0,-2253.0,-2825.0,-1496.0,1.0,1.0,0.0,4.0,2.0,1.0
Naafiri,Ahri,Miss Fortune,Braum,Yorick,Sejuani,Nidalee,Yone,Ezreal,Karma,0,LCK,0.0,1.0,1203.0,2872.0,568.0,-779.0,1.0,1.0,3.0,2.0,2.0,1.0
Naafiri,Ahri,Rumble,Kai'Sa,Leona,Pantheon,Azir,Jhin,Gwen,Rell,0,LCK,0.0,1.0,-4171.0,696.0,830.0,893.0,1.0,1.0,1.0,3.0,2.0,1.0
Varus,Ryze,Wukong,K'Sante,Braum,Taliyah,Sejuani,Camille,Alistar,Miss Fortune,0,LCK,0.0,1.0,-8783.0,-4811.0,-2739.0,-1988.0,0.0,0.0,1.0,2.0,1.0,2.0
Pantheon,Ahri,Jayce,Xayah,Rakan,Azir,Gwen,Ezreal,Wukong,Leona,1,LCK,1.0,0.0,4829.0,4970.0,3805.0,1245.0,1.0,1.0,3.0,2.0,2.0,1.0
Naafiri,Lucian,Nami,Sylas,Aurora,Rumble,Zed,Galio,Zeri,Lulu,0,LCK,1.0,0.0,-194.0,157.0,-148.0,191.0,1.0,1.0,2.0,2.0,3.0,0.0
Neeko,Nocturne,Kalista,Ryze,Gwen,Varus,Naafiri,Ahri,Nautilus,Jax,1,LCP,1.0,0.0,5232.0,3263.0,1979.0,395.0,1.0,1.0,2.0,2.0,3.0,0.0
Sejuani,Yone,Kai'Sa,Leona,K'Sante,Rumble,Skarner,Corki,Rakan,Xayah,0,LCP,1.0,0.0,-1189.0,-3181.0,-1802.0,-2170.0,0.0,0.0,0.0,4.0,0.0,3.0
Pantheon,Taliyah,Yorick,Kai'Sa,Rell,Ezreal,Azir,Skarner,Renekton,Alistar,1,LCP,1.0,0.0,4653.0,3140.0,2160.0,446.0,1.0,1.0,1.0,3.0,3.0,0.0
Rumble,Sejuani,Yone,Lucian,Nami,Varus,Wukong,Ornn,Braum,Akali,1,LCP,1.0,0.0,7945.0,3871.0,1181.0,-1001.0,1.0,1.0,4.0,0.0,2.0,1.0
Miss Fortune,Nautilus,Ambessa,Nidalee,Hwei,Lillia,Corki,Leona,Sion,Ryze,1,LCP,0.0,1.0,7871.0,4175.0,1166.0,-355.0,1.0,1.0,4.0,0.0,0.0,3.0
Jayce,Ezreal,Karma,Pantheon,Azir,Lucian,Sion,Nami,Xin Zhao,Ahri,0,LTA S,0.0,1.0,1597.0,1438.0,1217.0,551.0,1.0,1.0,2.0,3.0,3.0,0.0
Jayce,Vi,Ahri,Corki,Rakan,K'Sante,Pantheon,Taliyah,Kai'Sa,Alistar,0,LEC,0.0,1.0,-2627.0,-1106.0,-760.0,-28.0,0.0,0.0,2.0,3.0,0.0,3.0
Miss Fortune,Lillia,Yone,Gnar,Nautilus,Taliyah,Jhin,Jax,Rell,Sejuani,1,LTA S,1.0,0.0,7728.0,3455.0,-613.0,-619.0,1.0,1.0,2.0,2.0,0.0,3.0
Azir,Wukong,Jax,Caitlyn,Braum,Xin Zhao,Miss Fortune,Gragas,Ryze,Rell,1,LEC,1.0,0.0,2934.0,-262.0,696.0,840.0,0.0,1.0,2.0,3.0,0.0,3.0
Kalista,Naafiri,Galio,Soraka,Orianna,Rumble,Renata Glasc,Draven,Poppy,Akali,1,LTA S,0.0,1.0,4812.0,1275.0,-1122.0,324.0,1.0,1.0,2.0,2.0,1.0,2.0
Rumble,Xin Zhao,Ashe,Neeko,Nautilus,Miss Fortune,Taliyah,Pantheon,Sion,Rell,0,LTA S,0.0,1.0,-5436.0,-1999.0,294.0,110.0,1.0,0.0,0.0,4.0,3.0,0.0
Yone,Gwen,Neeko,Kai'Sa,Poppy,Rumble,Vi,Varus,Sylas,Leona,0,LEC,0.0,1.0,-2387.0,-383.0,-1140.0,-815.0,0.0,1.0,0.0,4.0,3.0,0.0
Vi,Lucian,Nami,Aatrox,Ryze,Sejuani,Corki,Ambessa,Rakan,Cassiopeia,1,LTA S,0.0,0.0,8130.0,4357.0,1332.0,912.0,1.0,1.0,4.0,0.0,3.0,0.0
Taliyah,Xin Zhao,Jhin,Gnar,Karma,Miss Fortune,Naafiri,Ryze,Rell,Kennen,1,LEC,1.0,0.0,844.0,2311.0,-747.0,-1960.0,1.0,1.0,3.0,4.0,3.0,0.0
Naafiri,Taliyah,Miss Fortune,Galio,Alistar,Azir,Ezreal,Pantheon,Rumble,Poppy,1,LTA N,1.0,0.0,6692.0,4270.0,977.0,251.0,1.0,1.0,4.0,1.0,3.0,0.0
Pantheon,Viktor,Jax,Kog'Maw,Braum,Sejuani,Corki,Aurelion Sol,Aatrox,Nami,1,LEC,1.0,0.0,7023.0,572.0,96.0,509.0,1.0,1.0,3.0,1.0,0.0,3.0
Skarner,Lucian,Milio,Ziggs,Yorick,Corki,Lillia,Nautilus,Gnar,Aurora,0,LTA N,1.0,0.0,79.0,-1075.0,135.0,-1440.0,1.0,1.0,2.0,5.0,2.0,1.0
Taliyah,Pantheon,Rumble,Ezreal,Nautilus,Naafiri,Gwen,Viktor,Jhin,Leona,0,LTA N,1.0,0.0,-1243.0,-1109.0,-89.0,-6.0,1.0,0.0,2.0,4.0,0.0,3.0
Xin Zhao,Ahri,Sion,Xayah,Rakan,Renekton,Nidalee,Yone,Alistar,Smolder,1,LTA N,0.0,1.0,-1029.0,-148.0,-811.0,-1144.0,0.0,1.0,3.0,3.0,3.0,0.0
Azir,Miss Fortune,Rell,Irelia,Nocturne,Gnar,Lucian,Milio,Xerath,Maokai,0,LTA N,0.0,1.0,-627.0,1868.0,832.0,-79.0,1.0,0.0,2.0,4.0,0.0,3.0
Taliyah,Pantheon,Gwen,Ezreal,Leona,Yone,Sejuani,Ambessa,Miss Fortune,Neeko,1,LCK,0.0,1.0,822.0,963.0,-1162.0,-747.0,1.0,1.0,2.0,4.0,1.0,2.0
Rumble,Wukong,Ryze,Lucian,Sett,Xin Zhao,Kai'Sa,Ahri,Nautilus,Anivia,1,LCK,1.0,0.0,6071.0,4323.0,1726.0,548.0,1.0,1.0,3.0,0.0,3.0,0.0
Jayce,Lulu,Jinx,Sylas,Maokai,Xayah,Rakan,Nocturne,Annie,Sion,0,LCK,0.0,1.0,-3860.0,-4155.0,-2692.0,-333.0,0.0,0.0,0.0,4.0,2.0,1.0
Xin Zhao,Gwen,Ahri,Jhin,Rell,Pantheon,Ryze,Aurora,Miss Fortune,Neeko,1,LCK,1.0,0.0,5297.0,2276.0,1379.0,-538.0,1.0,1.0,3.0,1.0,3.0,0.0
Vi,Aurora,Ezreal,Leona,Ambessa,Pantheon,Rumble,Jhin,Viktor,Alistar,1,LCP,1.0,0.0,7249.0,2727.0,-581.0,-1835.0,1.0,0.0,4.0,0.0,0.0,3.0
Azir,Jayce,Varus,Poppy,Karma,Kalista,Renata Glasc,Viktor,Skarner,Nidalee,0,LCK,0.0,1.0,-2055.0,-2181.0,-696.0,-249.0,1.0,1.0,2.0,3.0,3.0,0.0
Gwen,Zyra,Corki,Senna,Ornn,Jayce,Ryze,Viego,Ashe,Braum,0,LCP,0.0,1.0,-8585.0,-6271.0,-3046.0,-2718.0,0.0,0.0,0.0,4.0,0.0,3.0
Rumble,Pantheon,Azir,Xayah,Rakan,Naafiri,Ornn,Taliyah,Lucian,Nami,1,LCP,0.0,1.0,2526.0,2363.0,1855.0,727.0,0.0,0.0,2.0,2.0,2.0,1.0
Sion,Xin Zhao,Ryze,Miss Fortune,Leona,Vi,Ahri,Sett,Ezreal,Braum,0,LCP,0.0,1.0,-15084.0,-8414.0,-3000.0,-1418.0,0.0,0.0,1.0,2.0,3.0,0.0
Rumble,Pantheon,Ahri,Jhin,Nautilus,Ryze,Ashe,Taliyah,Naafiri,Rell,0,LTA S,0.0,0.0,-720.0,-1289.0,511.0,814.0,1.0,1.0,2.0,3.0,3.0,0.0
Taliyah,Vi,Ezreal,Leona,Gragas,Viktor,Pantheon,Neeko,Jhin,Aatrox,0,LEC,0.0,1.0,-4797.0,-2026.0,-2251.0,-2436.0,1.0,1.0,2.0,3.0,0.0,3.0
Jayce,Zeri,Lulu,Dr. Mundo,Akali,Lucian,Nami,Sion,Skarner,LeBlanc,0,LTA S,0.0,1.0,-7464.0,-3605.0,-1681.0,-1038.0,0.0,0.0,0.0,4.0,0.0,3.0
Rumble,Naafiri,Kai'Sa,Poppy,Annie,Corki,Sejuani,Gwen,Tristana,Alistar,1,LEC,1.0,0.0,10450.0,7311.0,3228.0,2456.0,0.0,1.0,4.0,1.0,3.0,0.0
Neeko,Jax,Gwen,Corki,Sylas,Xin Zhao,Ezreal,Shen,Leona,Cassiopeia,0,LTA S,1.0,0.0,-4862.0,-5568.0,-4107.0,-823.0,1.0,0.0,0.0,5.0,3.0,0.0
Varus,Xin Zhao,Nautilus,Jax,Galio,Vi,Neeko,Kai'Sa,Sylas,Gnar,1,LEC,1.0,0.0,4706.0,1848.0,1639.0,1075.0,1.0,1.0,2.0,3.0,3.0,0.0
Taliyah,Pantheon,Miss Fortune,Nautilus,Ambessa,Rumble,Xin Zhao,Ahri,Ezreal,Rell,0,LTA S,0.0,1.0,-3800.0,-3941.0,-1772.0,-1001.0,1.0,1.0,0.0,5.0,2.0,1.0
Taliyah,Naafiri,Ezreal,Alistar,Gwen,Viktor,Caitlyn,Braum,Lillia,Shen,1,LEC,1.0,0.0,5664.0,3737.0,1548.0,276.0,1.0,1.0,3.0,2.0,1.0,2.0
Gwen,Lucian,Nami,Poppy,Syndra,Ryze,Vi,Renekton,Xayah,Rakan,1,LTA S,1.0,0.0,8101.0,5407.0,3824.0,1092.0,1.0,1.0,2.0,2.0,3.0,0.0
Yone,Dr. Mundo,Kalista,Rell,Warwick,Miss Fortune,Sejuani,Azir,Rakan,Ambessa,0,LEC,0.0,1.0,-4392.0,-2138.0,-1437.0,-789.0,0.0,0.0,1.0,3.0,3.0,0.0
Neeko,Skarner,Kai'Sa,Gnar,Viktor,Ashe,Nocturne,Alistar,Aatrox,Aurora,0,LTA S,0.0,1.0,-1854.0,243.0,280.0,978.0,0.0,1.0,2.0,5.0,2.0,1.0
Varus,Xin Zhao,Azir,Neeko,Nidalee,Jayce,Ezreal,Sejuani,Viktor,Rakan,1,LTA N,1.0,0.0,9226.0,3853.0,2297.0,1270.0,1.0,1.0,3.0,1.0,3.0,0.0
Rumble,Skarner,Jhin,Sylas,Poppy,Galio,Pantheon,Taliyah,Alistar,Sivir,0,LTA N,0.0,1.0,-6664.0,-3968.0,-1445.0,-1371.0,0.0,1.0,0.0,4.0,3.0,0.0
Rumble,Pantheon,Tristana,Corki,Alistar,Ambessa,Yone,Maokai,Kalista,Renata Glasc,0,LTA N,1.0,0.0,-1822.0,1194.0,590.0,266.0,1.0,1.0,1.0,4.0,1.0,2.0
Xin Zhao,Ezreal,Taliyah,Nidalee,Leona,Jayce,Skarner,Ahri,Ashe,Braum,0,LTA N,1.0,0.0,-7.0,1266.0,3067.0,665.0,0.0,1.0,2.0,3.0,2.0,1.0
Azir,Naafiri,Galio,Lucian,Braum,Rumble,Pantheon,Yone,Miss Fortune,Alistar,1,LCKC,0.0,1.0,4168.0,2906.0,1720.0,550.0,1.0,0.0,4.0,0.0,3.0,0.0
Xin Zhao,Ambessa,Taliyah,Xayah,Rakan,Ahri,Ezreal,Renekton,Trundle,Poppy,1,LCKC,1.0,0.0,6299.0,1109.0,-860.0,345.0,1.0,1.0,3.0,1.0,3.0,0.0
Varus,Neeko,Gnar,Nidalee,Corki,Kalista,Viktor,Renata Glasc,Yorick,Wukong,1,LCKC,0.0,1.0,692.0,1996.0,2796.0,2761.0,1.0,1.0,5.0,1.0,1.0,2.0
Xin Zhao,Gwen,Ahri,Miss Fortune,Alistar,Rumble,Pantheon,Yone,Lucian,Braum,0,LCKC,0.0,1.0,-4467.0,-4637.0,-891.0,71.0,0.0,0.0,2.0,2.0,3.0,0.0
Viktor,Jayce,Skarner,Jhin,Leona,Renekton,Lillia,Diana,Kai'Sa,Nautilus,0,LCKC,0.0,1.0,-10663.0,-4484.0,-1377.0,-2665.0,0.0,0.0,0.0,4.0,3.0,0.0
Naafiri,Varus,Sion,Galio,Neeko,Jayce,Sejuani,Viktor,Kalista,Camille,0,LCKC,0.0,1.0,-7845.0,-2841.0,-130.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0
Renekton,Nidalee,Nautilus,Miss Fortune,Orianna,Gnar,Lillia,Leona,Corki,Jhin,1,LCKC,1.0,0.0,4382.0,4715.0,1960.0,1152.0,1.0,1.0,2.0,1.0,3.0,0.0
Xin Zhao,Ryze,Jax,Zeri,Lulu,Ahri,Aatrox,Pantheon,Lucian,Nami,1,LCKC,1.0,0.0,11067.0,10801.0,7000.0,3483.0,1.0,1.0,2.0,2.0,3.0,0.0
Maokai,Gwen,Tristana,Rell,Jhin,Sion,Nidalee,Jax,Kai'Sa,Gragas,0,LEC,0.0,1.0,-8079.0,-6612.0,-4163.0,-2003.0,0.0,0.0,0.0,4.0,0.0,3.0
Sejuani,Jayce,Ezreal,Viktor,Rakan,Miss Fortune,Xin Zhao,Nautilus,Ornn,Sylas,0,LEC,0.0,1.0,-4074.0,-2825.0,-556.0,863.0,0.0,1.0,1.0,3.0,0.0,3.0
