pick1,pick2,pick3,pick4,pick5,result,poke_avg,cc_avg,mobilidade_avg,tipo_predito
Vi,Sion,Azir,Jinx,Nautilus,0,0.514,0.8,0.796, POKE
Poppy,Annie,Camille,Alistar,Ezreal,1,0.49000000000000005,0.8,0.796, PEEL
Xin Zhao,Sion,Azir,Miss Fortune,Leona,0,0.524,0.8,0.784, POKE
Yorick,Wukong,Ahri,Rell,Lucian,1,0.466,0.8,0.8300000000000001,PEEL
Rumble,Xin Zhao,Lucian,Taric,Ahri,1,0.5359999999999999,0.8,0.8240000000000001,PEEL
Varus,Lee Sin,Ryze,Rakan,Taliyah,0,0.578,0.6,0.808, POKE
Yone,Ashe,Seraphine,Trundle,Ornn,0,0.496,0.8,0.7759999999999999, POKE
Kalista,Renata Glasc,Ambessa,Sejuani,Aurora,1,0.5359999999999999,0.8,0.7939999999999999, POKE
Jayce,Senna,Aurora,Jax,Nautilus,0,0.5740000000000001,0.6,0.78, POKE
Gwen,Annie,Neeko,Viego,Kai'Sa,1,0.614,0.6,0.79, POKE
Senna,Jax,Jayce,Galio,Alistar,1,0.516,0.6,0.7979999999999999, POKE
Rumble,Xin Zhao,Ahri,Ezreal,Poppy,0,0.546,0.8,0.8300000000000001,PEEL
Lucian,Ambessa,Nami,Kindred,Aurora,0,0.616,0.6,0.82,PEEL
Gwen,Neeko,Miss Fortune,Wukong,LeBlanc,1,0.5760000000000001,0.6,0.8119999999999999,PEEL
Varus,Viego,Rumble,Nautilus,Viktor,1,0.54,0.6,0.776, POKE
Miss Fortune,Vi,Ornn,Rakan,Akali,0,0.45599999999999996,0.6,0.828,PEEL
Varus,Pantheon,Azir,Dr. Mundo,Rell,1,0.518,0.6,0.776, POKE
Jhin,Aurora,Skarner,Orianna,Alistar,0,0.524,0.8,0.7659999999999999, SIEGE
Corki,Pantheon,Poppy,Ahri,Ambessa,0,0.51,0.6,0.8140000000000001,PEEL
Rell,Vi,Varus,Zoe,Renekton,1,0.47000000000000003,0.6,0.82,PEEL
Tristana,Vi,Neeko,Galio,Dr. Mundo,0,0.476,0.8,0.8039999999999999,PEEL
Ezreal,Sejuani,Rell,Akali,Olaf,1,0.396,0.4,0.82, DPS
Xin Zhao,Yorick,Annie,Miss Fortune,Rell,0,0.47000000000000003,0.8,0.7719999999999999, PEEL
Kha'Zix,Sion,Ryze,Kai'Sa,Alistar,1,0.466,0.6,0.8100000000000002,PEEL
Ezreal,Fiora,Ahri,Bard,Skarner,0,0.5119999999999999,0.6,0.8399999999999999,FLEX
Vi,Kai'Sa,Taliyah,Rell,Renekton,1,0.46399999999999997,0.6,0.82,PEEL
Xin Zhao,Ambessa,Ahri,Braum,Ezreal,1,0.52,0.8,0.836,FLEX
Taliyah,Vi,Camille,Nautilus,Senna,0,0.506,0.8,0.792, POKE
Vi,Ahri,Braum,Aatrox,Corki,1,0.484,0.8,0.8280000000000001,PEEL
Nocturne,Leona,Sylas,Smolder,Renekton,0,0.326,0.8,0.836, FRONT2BACK
Rumble,Naafiri,Orianna,Xayah,Rakan,0,0.5880000000000001,0.6,0.8299999999999998,PEEL
Sejuani,Jayce,Rell,Akali,Jhin,1,0.508,0.4,0.7859999999999999, WOMBOCOMBO
Pantheon,Jinx,Tahm Kench,Ornn,Syndra,1,0.462,0.6,0.788, PEEL
Senna,Nautilus,Rumble,Taliyah,Trundle,0,0.532,0.8,0.7539999999999999, SIEGE
Azir,Wukong,Sion,Ashe,Renata Glasc,0,0.578,1.0,0.7799999999999999, POKE
Miss Fortune,Pantheon,Leona,Gnar,Aurora,1,0.492,0.6,0.776, PEEL
Lucian,Milio,Skarner,Camille,Aurora,1,0.56,0.8,0.8039999999999999, POKE
Maokai,Yone,Gnar,Rakan,Xayah,0,0.466,0.6,0.8240000000000001,PEEL
